"ASV","Module_Color","kIN_Within"
"16S_ASV_223","turquoise",3.58163072882613
"16S_ASV_224","magenta",27.6312673319229
"16S_ASV_225","turquoise",4.0052896890391
"16S_ASV_226","yellow",14.6899958942832
"16S_ASV_227","turquoise",5.41842076527752
"16S_ASV_228","black",29.7540984603661
"16S_ASV_229","red",36.2488135857426
"16S_ASV_230","yellow",16.7491103438776
"16S_ASV_231","black",30.3974252255832
"16S_ASV_232","purple",3.96144011392126
"16S_ASV_233","pink",26.6495513452416
"16S_ASV_234","pink",19.3623319878746
"16S_ASV_235","pink",28.7920421687052
"16S_ASV_236","black",34.2605050650036
"16S_ASV_237","black",34.2510313735112
"16S_ASV_238","turquoise",20.7963952658098
"16S_ASV_239","turquoise",21.3107651062589
"16S_ASV_240","black",4.30936656605637
"16S_ASV_241","yellow",18.1163894948199
"16S_ASV_242","red",30.8973252383252
"16S_ASV_243","turquoise",0.878181313394726
"16S_ASV_244","blue",37.2435219345419
"16S_ASV_245","black",34.1146770597121
"16S_ASV_246","turquoise",3.0275328497994
"16S_ASV_247","brown",2.0975281723874
"16S_ASV_248","red",36.2818120416421
"16S_ASV_249","yellow",11.8417370002873
"16S_ASV_250","blue",41.353008138231
"16S_ASV_251","pink",26.9111955653087
"16S_ASV_252","grey",0.202226011926879
"16S_ASV_253","turquoise",0.809146730886147
"16S_ASV_254","pink",24.6166873452343
"16S_ASV_255","yellow",45.7302264732681
"16S_ASV_256","brown",8.04531879681983
"16S_ASV_257","grey",1.85680821824406
"16S_ASV_258","turquoise",2.11009393605171
"16S_ASV_259","blue",41.1101964181797
"16S_ASV_260","turquoise",12.5316428955028
"16S_ASV_261","blue",40.4900219976138
"16S_ASV_262","turquoise",3.53229137246034
"16S_ASV_263","yellow",12.981767205187
"16S_ASV_264","turquoise",15.9726294559327
"16S_ASV_265","turquoise",13.0363346982048
"16S_ASV_266","pink",27.1994521921163
"16S_ASV_267","magenta",22.8839810257785
"16S_ASV_268","red",36.6035012934702
"16S_ASV_269","blue",35.1223253678268
"16S_ASV_270","green",5.39760408246349
"16S_ASV_271","red",35.9881530306711
"16S_ASV_272","blue",34.6244497517847
"16S_ASV_273","blue",39.2730405240122
"16S_ASV_274","turquoise",2.96235379534131
"16S_ASV_275","greenyellow",1.53886733246354
"16S_ASV_276","pink",28.5358688460193
"16S_ASV_277","brown",4.96847767653958
"16S_ASV_278","red",33.1465347659378
"16S_ASV_279","turquoise",16.2955653368976
"16S_ASV_280","pink",28.3780278214678
"16S_ASV_281","red",36.2711502339944
"16S_ASV_282","pink",26.814573174951
"16S_ASV_283","turquoise",1.37887614509032
"16S_ASV_284","pink",22.8903307459797
"16S_ASV_285","turquoise",20.8829368131442
"16S_ASV_286","turquoise",3.08527072926837
"16S_ASV_287","pink",16.0599500411551
"16S_ASV_288","yellow",17.45907812097
"16S_ASV_289","turquoise",2.7626436208883
"16S_ASV_290","brown",10.0535002894626
"16S_ASV_291","turquoise",17.9497661544048
"16S_ASV_292","blue",33.4333631257461
"16S_ASV_293","brown",3.33362495163796
"16S_ASV_295","pink",19.0650050708084
"16S_ASV_296","turquoise",3.20716138043249
"16S_ASV_297","turquoise",21.291126572355
"16S_ASV_298","turquoise",12.65812968962
"16S_ASV_299","grey",0.199955492090554
"16S_ASV_300","grey",0.292899414156557
"16S_ASV_301","brown",10.2099290013294
"16S_ASV_302","turquoise",5.45849157745169
"16S_ASV_303","turquoise",5.58443298797584
"16S_ASV_304","pink",25.1466903965626
"16S_ASV_305","brown",3.5288163119543
"16S_ASV_306","blue",39.5466000726465
"16S_ASV_307","turquoise",3.08317522541932
"16S_ASV_308","pink",24.7641166242053
"16S_ASV_309","black",34.152578052222
"16S_ASV_310","turquoise",8.7440021146775
"16S_ASV_311","turquoise",1.64597119092518
"16S_ASV_312","brown",9.72328570849375
"16S_ASV_313","purple",6.75954175996753
"16S_ASV_314","blue",36.6261235226425
"16S_ASV_315","brown",11.0395575700752
"16S_ASV_316","pink",14.5438902879674
"16S_ASV_317","greenyellow",0.969384702642623
"16S_ASV_318","grey",0.73099245460693
"16S_ASV_319","blue",40.9114336132165
"16S_ASV_320","blue",39.2512705880697
"16S_ASV_321","yellow",14.6202262491161
"16S_ASV_322","purple",5.3584917817173
"16S_ASV_323","brown",10.1665680395586
"16S_ASV_324","yellow",13.5425961815679
"16S_ASV_325","yellow",13.2553537000531
"16S_ASV_326","turquoise",2.00834177221464
"16S_ASV_327","green",14.4172159240405
"16S_ASV_328","pink",20.5261154587086
"16S_ASV_329","brown",2.99735503132394
"16S_ASV_330","blue",37.6958694983949
"16S_ASV_331","pink",22.3287197839898
"16S_ASV_333","pink",24.354895970786
"16S_ASV_334","black",34.3200252114752
"16S_ASV_335","greenyellow",1.51589045536077
"16S_ASV_336","turquoise",18.3708618889975
"16S_ASV_337","purple",5.77762815817938
"16S_ASV_338","turquoise",5.73354634453441
"16S_ASV_340","turquoise",5.64875289474513
"16S_ASV_341","blue",41.4452950946014
"16S_ASV_342","grey",1.80739181281734
"16S_ASV_343","pink",26.118816530215
"16S_ASV_344","purple",3.82144456327262
"16S_ASV_345","grey",0.100811133187821
"16S_ASV_346","brown",6.07817647032276
"16S_ASV_347","turquoise",5.11680237087893
"16S_ASV_348","blue",41.2717471082943
"16S_ASV_349","turquoise",3.94920116024147
"16S_ASV_350","pink",27.5672857465228
"16S_ASV_351","turquoise",1.79912639024191
"16S_ASV_352","grey",0.461063051446658
"16S_ASV_353","brown",11.5367725369236
"16S_ASV_354","turquoise",3.60718035159122
"16S_ASV_355","blue",41.1750462003684
"16S_ASV_356","grey",1.49874411103057
"16S_ASV_357","turquoise",0.982584532135803
"16S_ASV_358","black",4.25059754859834
"16S_ASV_359","blue",37.2780836046096
"16S_ASV_360","pink",28.6565853736673
"16S_ASV_361","turquoise",2.69403792463761
"16S_ASV_362","turquoise",8.60313703562529
"16S_ASV_363","pink",22.6432650743277
"16S_ASV_364","pink",27.5817364906493
"16S_ASV_365","blue",33.4274387818584
"16S_ASV_366","turquoise",1.90864772363674
"16S_ASV_367","purple",5.18061178583537
"16S_ASV_368","greenyellow",3.7375349764116
"16S_ASV_369","brown",4.98403747662105
"16S_ASV_370","brown",5.28068448334899
"16S_ASV_371","blue",41.212194483716
"16S_ASV_373","brown",2.45313517544723
"16S_ASV_374","brown",10.148889660749
"16S_ASV_375","blue",33.3787924675115
"16S_ASV_376","purple",1.2977551615029
"16S_ASV_377","brown",1.49458461525735
"16S_ASV_378","green",11.7691013729706
"16S_ASV_380","pink",28.3208518568811
"16S_ASV_381","pink",27.5511708028797
"16S_ASV_382","turquoise",2.1478503734167
"16S_ASV_383","pink",28.1430692110248
"16S_ASV_384","yellow",14.7872288649715
"16S_ASV_385","brown",0.897436132975347
"16S_ASV_386","blue",38.8592086881478
"16S_ASV_387","grey",1.18245689181072
"16S_ASV_388","blue",38.9783433098978
"16S_ASV_389","turquoise",2.89642089818604
"16S_ASV_390","brown",8.72387725811506
"16S_ASV_391","turquoise",0.466976629957343
"16S_ASV_392","pink",1.40503560065778
"16S_ASV_393","blue",41.8386147620202
"16S_ASV_394","brown",2.68087894973327
"16S_ASV_395","blue",38.1188005686397
"16S_ASV_396","turquoise",4.47724937392119
"16S_ASV_397","yellow",3.25527274616293
"16S_ASV_398","purple",0.849852375073476
"16S_ASV_399","blue",39.1360505744102
"16S_ASV_400","brown",10.7462411495981
"16S_ASV_401","purple",7.38270243058566
"16S_ASV_402","grey",0.509807851791471
"16S_ASV_403","turquoise",3.19099786719908
"16S_ASV_404","purple",1.52822875841254
"16S_ASV_406","blue",41.3971364232918
"16S_ASV_408","brown",8.75268924894774
"16S_ASV_409","purple",5.52574120641239
"16S_ASV_410","turquoise",2.16220064091936
"16S_ASV_411","pink",23.5475933389322
"16S_ASV_412","grey",1.55881906885956
"16S_ASV_413","purple",0.377132703679384
"16S_ASV_415","black",4.3001369380375
"16S_ASV_416","blue",38.7390947844881
"16S_ASV_417","green",10.1833604569866
"16S_ASV_418","brown",3.23650909096929
"16S_ASV_419","yellow",5.68855261985503
"16S_ASV_421","turquoise",3.17218820561095
"16S_ASV_422","turquoise",2.79965030257202
"16S_ASV_424","grey",0.192286382852451
"16S_ASV_425","purple",5.49920157189641
"16S_ASV_427","brown",2.20254093160776
"16S_ASV_428","turquoise",4.82680159923458
"16S_ASV_429","brown",11.8545736933795
"16S_ASV_430","purple",5.46235382645913
"16S_ASV_431","grey",0.128370311611214
"16S_ASV_432","turquoise",0.847726608151274
"16S_ASV_433","turquoise",6.82677273409163
"16S_ASV_434","green",2.40948950065446
"16S_ASV_435","green",10.0694483369478
"16S_ASV_436","pink",14.1940106094751
"16S_ASV_437","brown",3.29308404423829
"16S_ASV_438","pink",0.306824199882255
"16S_ASV_440","brown",4.05207946193532
"16S_ASV_442","purple",5.41296818791158
"16S_ASV_443","blue",38.1101985324061
"16S_ASV_445","grey",1.10788659686353
"16S_ASV_447","greenyellow",1.88711836593117
"16S_ASV_448","grey",0.28840262150491
"16S_ASV_449","blue",40.324532345686
"16S_ASV_450","grey",0.138278889994875
"16S_ASV_451","turquoise",4.35087349975622
"16S_ASV_453","brown",2.99223142923258
"16S_ASV_455","purple",3.47481634857359
"16S_ASV_456","brown",3.11479843815384
"16S_ASV_457","green",14.8396222124148
"16S_ASV_458","purple",5.01184705974176
"16S_ASV_460","grey",0.204964891656829
"16S_ASV_461","grey",0.149308915161642
"16S_ASV_463","blue",41.0833258181255
"16S_ASV_464","grey",0.291275076594283
"16S_ASV_465","turquoise",5.36520004168833
"16S_ASV_467","blue",37.1561912592993
"16S_ASV_468","pink",28.449592232087
"16S_ASV_469","brown",3.90571368143804
"16S_ASV_470","purple",1.22380890907194
"16S_ASV_471","purple",5.38043328525612
"16S_ASV_472","turquoise",5.40296206561006
"16S_ASV_473","brown",1.92978408802915
"16S_ASV_474","blue",39.3204621978217
"16S_ASV_475","blue",38.3496523921543
"16S_ASV_476","brown",5.03600846752602
"16S_ASV_479","grey",0.814838504957457
"16S_ASV_480","brown",9.92768528700926
"16S_ASV_484","grey",0.360996124031614
"16S_ASV_487","green",10.2979384708213
"16S_ASV_488","blue",41.2847909716646
"16S_ASV_490","purple",6.57198720131747
"16S_ASV_491","yellow",1.684765793461
"16S_ASV_492","red",3.60077301488063
"16S_ASV_494","brown",5.13186324536057
"16S_ASV_497","brown",0.536851035129862
"16S_ASV_499","blue",41.4174927558177
"16S_ASV_501","brown",8.7890734436953
"16S_ASV_503","blue",41.264773913731
"16S_ASV_504","brown",7.76867382909867
"16S_ASV_505","brown",1.75178214131547
"16S_ASV_506","purple",8.73555209530381
"16S_ASV_507","grey",0.125066628649028
"16S_ASV_508","yellow",7.51838259651924
"16S_ASV_509","grey",0.237301579475735
"16S_ASV_510","pink",1.50274142048088
"16S_ASV_515","pink",23.3958886934041
"16S_ASV_516","brown",5.03938441268576
"16S_ASV_517","grey",0.896457610209344
"16S_ASV_518","turquoise",5.1638642422996
"16S_ASV_519","black",4.1430390941306
"16S_ASV_520","grey",0.196430486321514
"16S_ASV_524","turquoise",3.59116759730785
"16S_ASV_526","blue",38.9898269770648
"16S_ASV_528","greenyellow",3.91920107798258
"16S_ASV_530","grey",0.183335076996117
"16S_ASV_531","turquoise",3.25620364369494
"16S_ASV_534","purple",8.0435895236712
"16S_ASV_535","turquoise",5.03134173952223
"16S_ASV_537","brown",1.5478751217201
"16S_ASV_538","turquoise",3.95292967627694
"16S_ASV_539","greenyellow",5.79039571662588
"16S_ASV_540","green",12.0979707833234
"16S_ASV_541","green",15.2318993319862
"16S_ASV_543","purple",0.428388221006596
"16S_ASV_544","green",14.0178308616936
"16S_ASV_547","brown",0.677234368797526
"16S_ASV_549","grey",1.0327621033802
"16S_ASV_550","blue",39.4060852651473
"16S_ASV_553","purple",6.82897155999723
"16S_ASV_554","grey",0.498397440324744
"16S_ASV_555","turquoise",1.91770619968391
"16S_ASV_557","purple",0.669981749080277
"16S_ASV_558","green",9.12291901005301
"16S_ASV_559","purple",1.49466831492316
"16S_ASV_560","purple",8.65448076452859
"16S_ASV_562","black",1.14478848155249
"16S_ASV_563","grey",0.222457734469608
"16S_ASV_566","grey",0.209532162238867
"16S_ASV_567","turquoise",3.05383339295539
"16S_ASV_568","blue",38.3667862261602
"16S_ASV_570","brown",4.09306566543537
"16S_ASV_571","red",4.67872666113192
"16S_ASV_572","grey",0.28277789053655
"16S_ASV_573","turquoise",2.13090853833087
"16S_ASV_576","brown",4.16168723905355
"16S_ASV_578","brown",3.66670201918368
"16S_ASV_579","blue",41.0950941948392
"16S_ASV_580","green",13.7557351293948
"16S_ASV_581","grey",3.29134233854613
"16S_ASV_582","purple",3.86994143748629
"16S_ASV_583","pink",5.11468847352157
"16S_ASV_584","black",0.393821715904199
"16S_ASV_585","purple",2.1173961766018
"16S_ASV_586","brown",1.5128589579336
"16S_ASV_587","greenyellow",3.61253475465552
"16S_ASV_589","grey",0.627123576485908
"16S_ASV_591","grey",0.428453026119328
"16S_ASV_594","grey",0.143203657793645
"16S_ASV_595","blue",37.6508302233325
"16S_ASV_596","grey",0.321998999943882
"16S_ASV_597","grey",0.301186645018728
"16S_ASV_598","green",6.57360792016631
"16S_ASV_602","purple",8.45020063441409
"16S_ASV_605","grey",1.07681108808375
"16S_ASV_606","brown",3.02259178577699
"16S_ASV_612","magenta",0.732995223462885
"16S_ASV_613","green",13.3510772696381
"16S_ASV_616","purple",1.5170457576302
"16S_ASV_620","brown",1.29881481263862
"16S_ASV_621","brown",4.95957165960513
"16S_ASV_625","greenyellow",2.80736381188593
"16S_ASV_626","red",3.52881120756743
"16S_ASV_629","greenyellow",1.81348933587449
"16S_ASV_630","brown",3.01417980186335
"16S_ASV_631","grey",1.48014291692107
"16S_ASV_636","grey",0.122427698993093
"16S_ASV_638","brown",1.58135124383557
"16S_ASV_640","purple",5.82020787227208
"16S_ASV_642","magenta",0.259704285597199
"16S_ASV_643","turquoise",4.93353118948086
"16S_ASV_645","green",6.85517271949108
"16S_ASV_646","purple",0.436810511228833
"16S_ASV_650","brown",4.12670091221686
"16S_ASV_658","yellow",3.2047807896618
"16S_ASV_660","grey",0.275311048484776
"16S_ASV_664","greenyellow",4.34948276310645
"16S_ASV_667","brown",0.414514275581142
"16S_ASV_670","purple",6.91342570211549
"16S_ASV_671","red",8.45264543541083
"16S_ASV_673","purple",1.21244009854629
"16S_ASV_675","brown",0.629666460348471
"16S_ASV_676","greenyellow",3.78925057483746
"16S_ASV_677","pink",5.01276312831406
"16S_ASV_682","green",10.6071002621278
"16S_ASV_684","yellow",12.1057618682471
