"ASV","Module_Color","LM-6-1","LM-6-16","LM-6-19","LM-6-8","LM-7-14","LM-7-22","LM-7-28","LM-7-8","LM-8-12","LM-8-18","LM-8-26","LM-8-4","LM-9-1","LM-9-16","LM-9-9","LR-6-1","LR-6-16","LR-6-19","LR-6-8","LR-7-14","LR-7-22","LR-7-28","LR-7-8","LR-8-12","LR-8-18","LR-8-26","LR-8-4","LR-9-1","LR-9-16","LR-9-9","TTL-6-1","TTL-6-16","TTL-6-19","TTL-6-8","TTL-7-14","TTL-7-22","TTL-7-28","TTL-7-8","TTL-8-12","TTL-8-18","TTL-8-26","TTL-8-4","TTL-9-1","TTL-9-16","TTL-9-9"
"16S_ASV_554","grey",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.391292790435615,0,0,0,0,0,0.380966620832059,0,0,0,0,0,0,0,0,0,0,0.683596829424597,0,0,0.203635224421512,0,0,0,0.187317162316339,0.246182981958665,0.225912997889962,0.215062766699433
"16S_ASV_555","turquoise",0,0,0.279776268442101,0,0,0,0,0.19167997823849,0.415360038594641,0,0,0,0,0,0,0.377057719668569,0.482935644843806,0,0.299093411845839,0.355243695323496,0,0,0.348433280268579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16S_ASV_557","purple",0,0,0,0.373039644075238,0.379490375350705,0,0,0,0,0,0,0,0,0.489369186450525,0,0,0,0,0,0,0,0,0,0,0,0,0,0.303698879992564,0,0,0,0,0,0,0,0,0,0,0,0.188676192196096,0,0,0,0,0.591197566898576
"16S_ASV_558","green",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42984298516583,0.238172403949831,0.170802282692872,0.329529894512825,0.31699562088913,0.422234543499787,0.375506141410003,0,0.448299506274287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16S_ASV_559","purple",0,0.170940864689457,0.197385508487931,0,0,0.298807152333598,0,0,0.33468341311303,0,0,0,0,0,0,0,0,0,0,0.220683707376187,0,0,0,0,0.193229558654111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.575472702366351,0,0,0,0.201455741006345,0.522232967867094
"16S_ASV_56","red",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.240011294914941,0.342189090261475,0.418869678096799,0.272344793867972,0.329292779969071,0.273035149332617,0.10267506354855,0.111466132951586,0,0.236056966781887,0,0,0,0,0,0,0,0,0,0,0,0.162343529857974,0,0.442048217399442,0.113142409463813,0.281855940303442
"16S_ASV_560","purple",0,0,0,0.267478439219228,0,0.30175637618633,0,0,0,0,0,0,0.184787287071959,0.22810637940488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.371767914314591,0,0,0,0.276446675197301,0,0,0,0.581559439880242,0,0.156173761888606,0,0,0.417113581458814
"16S_ASV_562","black",0,0,0.181369062527503,0,0.399423927280541,0,0,0.455232734000163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4253481546117,0,0,0,0.511383572179178,0,0.397359707119513,0,0,0,0,0,0
"16S_ASV_563","grey",0,0,0,0,0,0.229415733870562,0.214598768819738,0.438673238899201,0,0,0,0,0,0.484971512999529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.527219618674978,0,0,0,0,0,0.442406695485643
"16S_ASV_566","grey",0,0,0,0,0,0,0,0,0,0,0.551081913301267,0,0.311954221387707,0,0.405499112454445,0,0.265461482437129,0,0.397137407965265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.454286076086616,0,0,0,0,0
