"ASV","Module_Color"
"18S_ASV_157","green"
"18S_ASV_177","green"
"18S_ASV_181","green"
"18S_ASV_182","green"
"18S_ASV_183","green"
"18S_ASV_196","green"
"18S_ASV_208","green"
"18S_ASV_217","green"
"18S_ASV_227","green"
"18S_ASV_231","green"
"18S_ASV_235","green"
"18S_ASV_245","green"
"18S_ASV_248","green"
"18S_ASV_262","green"
"18S_ASV_264","green"
"18S_ASV_271","green"
"18S_ASV_274","green"
"18S_ASV_285","green"
"18S_ASV_290","green"
"18S_ASV_312","green"
"18S_ASV_337","green"
"18S_ASV_346","green"
"18S_ASV_348","green"
"18S_ASV_370","green"
"18S_ASV_415","green"
"18S_ASV_417","green"
"18S_ASV_438","green"
"18S_ASV_444","green"
"18S_ASV_445","green"
"18S_ASV_503","green"
"18S_ASV_513","green"
"18S_ASV_518","green"
"18S_ASV_530","green"
"18S_ASV_535","green"
"18S_ASV_542","green"
"18S_ASV_547","green"
"18S_ASV_591","green"
"18S_ASV_607","green"
"18S_ASV_630","green"
"18S_ASV_694","green"
"18S_ASV_750","green"
"18S_ASV_1051","green"
"18S_ASV_1079","green"
"18S_ASV_1112","green"
"16S_ASV_147","greenyellow"
"16S_ASV_275","greenyellow"
"16S_ASV_317","greenyellow"
"16S_ASV_335","greenyellow"
"16S_ASV_368","greenyellow"
"16S_ASV_447","greenyellow"
"16S_ASV_528","greenyellow"
"16S_ASV_539","greenyellow"
"16S_ASV_587","greenyellow"
"16S_ASV_625","greenyellow"
"16S_ASV_629","greenyellow"
"16S_ASV_664","greenyellow"
"16S_ASV_676","greenyellow"
"16S_ASV_688","greenyellow"
"16S_ASV_743","greenyellow"
"16S_ASV_773","greenyellow"
"16S_ASV_801","greenyellow"
"16S_ASV_831","greenyellow"
"16S_ASV_856","greenyellow"
"16S_ASV_937","greenyellow"
"16S_ASV_966","greenyellow"
"16S_ASV_998","greenyellow"
"16S_ASV_1031","greenyellow"
"16S_ASV_1072","greenyellow"
"16S_ASV_1363","greenyellow"
"16S_ASV_1551","greenyellow"
"16S_ASV_1590","greenyellow"
"16S_ASV_1949","greenyellow"
"18S_ASV_22","greenyellow"
"18S_ASV_29","greenyellow"
"18S_ASV_170","greenyellow"
"18S_ASV_635","greenyellow"
"18S_ASV_652","greenyellow"
"16S_ASV_107","grey"
"16S_ASV_173","grey"
"16S_ASV_252","grey"
"16S_ASV_257","grey"
"16S_ASV_299","grey"
"16S_ASV_300","grey"
"16S_ASV_318","grey"
"16S_ASV_342","grey"
"16S_ASV_345","grey"
"16S_ASV_352","grey"
"16S_ASV_356","grey"
"16S_ASV_387","grey"
"16S_ASV_402","grey"
"16S_ASV_412","grey"
"16S_ASV_424","grey"
"16S_ASV_431","grey"
"16S_ASV_445","grey"
"16S_ASV_448","grey"
"16S_ASV_450","grey"
"16S_ASV_460","grey"
"16S_ASV_461","grey"
"16S_ASV_464","grey"
"16S_ASV_479","grey"
"16S_ASV_484","grey"
"16S_ASV_507","grey"
"16S_ASV_509","grey"
"16S_ASV_517","grey"
"16S_ASV_520","grey"
"16S_ASV_530","grey"
"16S_ASV_549","grey"
"16S_ASV_554","grey"
"16S_ASV_563","grey"
"16S_ASV_566","grey"
"16S_ASV_572","grey"
"16S_ASV_581","grey"
"16S_ASV_589","grey"
"16S_ASV_591","grey"
"16S_ASV_594","grey"
"16S_ASV_596","grey"
"16S_ASV_597","grey"
"16S_ASV_605","grey"
"16S_ASV_631","grey"
"16S_ASV_636","grey"
"16S_ASV_660","grey"
"16S_ASV_699","grey"
"16S_ASV_707","grey"
"16S_ASV_716","grey"
"16S_ASV_717","grey"
"16S_ASV_739","grey"
"16S_ASV_756","grey"
"16S_ASV_785","grey"
"16S_ASV_811","grey"
"16S_ASV_816","grey"
"16S_ASV_828","grey"
"16S_ASV_832","grey"
"16S_ASV_863","grey"
"16S_ASV_865","grey"
"16S_ASV_873","grey"
"16S_ASV_878","grey"
"16S_ASV_884","grey"
"16S_ASV_886","grey"
"16S_ASV_929","grey"
"16S_ASV_934","grey"
"16S_ASV_943","grey"
"16S_ASV_956","grey"
"16S_ASV_960","grey"
"16S_ASV_961","grey"
"16S_ASV_978","grey"
"16S_ASV_1012","grey"
"16S_ASV_1070","grey"
"16S_ASV_1146","grey"
"16S_ASV_1176","grey"
"16S_ASV_1368","grey"
"16S_ASV_1370","grey"
"16S_ASV_1393","grey"
"16S_ASV_1474","grey"
"16S_ASV_1609","grey"
"16S_ASV_1679","grey"
"16S_ASV_2121","grey"
"16S_ASV_2189","grey"
"18S_ASV_9","grey"
"18S_ASV_12","grey"
"18S_ASV_26","grey"
"18S_ASV_42","grey"
"18S_ASV_53","grey"
"18S_ASV_58","grey"
"18S_ASV_68","grey"
"18S_ASV_76","grey"
"18S_ASV_80","grey"
"18S_ASV_106","grey"
"18S_ASV_140","grey"
"18S_ASV_147","grey"
"18S_ASV_168","grey"
"18S_ASV_175","grey"
"18S_ASV_199","grey"
"18S_ASV_201","grey"
"18S_ASV_234","grey"
"18S_ASV_249","grey"
"18S_ASV_266","grey"
"18S_ASV_270","grey"
"18S_ASV_281","grey"
"18S_ASV_308","grey"
"18S_ASV_320","grey"
"18S_ASV_324","grey"
"18S_ASV_336","grey"
"18S_ASV_342","grey"
"18S_ASV_344","grey"
"18S_ASV_355","grey"
"18S_ASV_381","grey"
"18S_ASV_433","grey"
"18S_ASV_434","grey"
"18S_ASV_461","grey"
"18S_ASV_506","grey"
"18S_ASV_514","grey"
"18S_ASV_536","grey"
"18S_ASV_557","grey"
"18S_ASV_566","grey"
"18S_ASV_584","grey"
"18S_ASV_593","grey"
"18S_ASV_605","grey"
"18S_ASV_668","grey"
"18S_ASV_737","grey"
"18S_ASV_759","grey"
"18S_ASV_802","grey"
"18S_ASV_879","grey"
"18S_ASV_987","grey"
"18S_ASV_1153","grey"
"18S_ASV_1185","grey"
"18S_ASV_1333","grey"
"18S_ASV_1651","grey"
"16S_ASV_1","magenta"
"16S_ASV_4","magenta"
"16S_ASV_7","magenta"
"16S_ASV_12","magenta"
"16S_ASV_14","magenta"
"16S_ASV_16","magenta"
"16S_ASV_22","magenta"
"16S_ASV_28","magenta"
"16S_ASV_31","magenta"
"16S_ASV_32","magenta"
"16S_ASV_37","magenta"
"16S_ASV_46","magenta"
"16S_ASV_49","magenta"
"16S_ASV_50","magenta"
"16S_ASV_51","magenta"
"16S_ASV_53","magenta"
"16S_ASV_65","magenta"
"16S_ASV_66","magenta"
"16S_ASV_74","magenta"
"16S_ASV_77","magenta"
"16S_ASV_78","magenta"
"16S_ASV_81","magenta"
"16S_ASV_89","magenta"
"16S_ASV_91","magenta"
"16S_ASV_94","magenta"
"16S_ASV_98","magenta"
"16S_ASV_104","magenta"
"16S_ASV_109","magenta"
"16S_ASV_112","magenta"
"16S_ASV_116","magenta"
"16S_ASV_123","magenta"
"16S_ASV_133","magenta"
"16S_ASV_135","magenta"
"16S_ASV_137","magenta"
"16S_ASV_166","magenta"
"16S_ASV_176","magenta"
"16S_ASV_178","magenta"
"16S_ASV_198","magenta"
"16S_ASV_205","magenta"
"16S_ASV_224","magenta"
"16S_ASV_267","magenta"
"16S_ASV_612","magenta"
"16S_ASV_642","magenta"
"16S_ASV_940","magenta"
"16S_ASV_957","magenta"
"16S_ASV_1375","magenta"
"18S_ASV_1","magenta"
"18S_ASV_10","magenta"
"18S_ASV_66","magenta"
"18S_ASV_101","magenta"
"18S_ASV_164","magenta"
"18S_ASV_205","magenta"
"18S_ASV_661","magenta"
"16S_ASV_18","pink"
"16S_ASV_64","pink"
"16S_ASV_75","pink"
"16S_ASV_134","pink"
"16S_ASV_170","pink"
"16S_ASV_182","pink"
"16S_ASV_186","pink"
