,18S-LM-6-1,18S-LM-6-16,18S-LM-6-19,18S-LM-6-8,18S-LM-7-14,18S-LM-7-22,18S-LM-7-28,18S-LM-7-8,18S-LM-8-12,18S-LM-8-18,18S-LM-8-26,18S-LM-8-4,18S-LM-9-1,18S-LM-9-16,18S-LM-9-9,18S-LR-6-1,18S-LR-6-16,18S-LR-6-19,18S-LR-6-8,18S-LR-7-14,18S-LR-7-22,18S-LR-7-28,18S-LR-7-8,18S-LR-8-12,18S-LR-8-18,18S-LR-8-26,18S-LR-8-4,18S-LR-9-1,18S-LR-9-16,18S-LR-9-9,18S-TTL-6-1,18S-TTL-6-16,18S-TTL-6-19,18S-TTL-6-8,18S-TTL-7-14,18S-TTL-7-22,18S-TTL-7-28,18S-TTL-7-8,18S-TTL-8-12,18S-TTL-8-18,18S-TTL-8-26,18S-TTL-8-4,18S-TTL-9-1,18S-TTL-9-16,18S-TTL-9-9,Domain,Supergroup,Division,Subdivision,Class,Order,Family,Genus,Species,Taxa
ASV_25,435,465,177,0,0,0,0,0,0,0,0,0,0,0,0,3594,0,0,1023,0,0,0,0,0,0,0,0,0,0,0,11645,0,0,3841,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,TSAR,Stramenopiles,Gyrista,Peronosporomycetes,Peronosporomycetes,Peronosporales,NA,NA,Stramenopiles
ASV_26,0,0,0,0,0,0,0,0,0,0,0,0,0,1372,79,999,229,1035,145,2312,369,77,562,0,54,78,263,0,587,80,0,0,0,117,6453,695,793,3678,61,0,0,996,0,0,0,Eukaryota,Cryptista,Cryptophyta,Cryptophyta_X,Cryptophyceae,Cryptomonadales,Cryptomonadales_X,Cryptomonas,Cryptomonas_curvata,Cryptophyta
ASV_27,39,157,242,578,213,2985,5345,24,79,212,98,32,1468,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,636,489,4237,1972,1160,0,0,0,0,0,0,0,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta_X,Chlorophyceae,Sphaeropleales,Sphaeropleales_X,Ankyra,Ankyra_judayi,Chlorophyta
ASV_28,0,0,0,0,234,0,0,0,0,38,0,0,0,7431,568,209,0,0,154,1907,0,0,2437,0,160,382,423,0,605,1829,0,0,0,0,1275,153,129,573,0,0,0,464,173,67,71,Eukaryota,Cryptista,Cryptophyta,Cryptophyta_X,Cryptophyceae,Cryptomonadales,Cryptomonadales_X,Cryptomonas,Cryptomonas_curvata,Cryptophyta
ASV_29,0,0,0,0,226,0,0,0,0,0,0,0,0,730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1339,48,68,8119,277,312,1332,3484,371,40,9,1120,243,19,0,Eukaryota,Cryptista,Cryptophyta,Cryptophyta_X,Cryptophyceae,Cryptomonadales,Cryptomonadales_X,Komma,Komma_caudata,Cryptophyta
ASV_30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,398,49,474,129,3840,1752,4,4035,126,238,4012,239,434,1260,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,TSAR,Rhizaria,Cercozoa,NA,NA,NA,NA,NA,Rhizaria
ASV_31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,671,189,183,231,75,708,109,583,632,5088,6395,366,657,390,301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta_X,Chlorophyceae,Sphaeropleales,Sphaeropleales_X,Tetraedron,Tetraedron_minimum,Chlorophyta
ASV_32,2124,0,1202,0,1196,0,0,722,428,442,446,113,35,450,331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,773,934,0,2333,0,634,560,0,507,444,348,543,345,618,159,160,Eukaryota,Obazoa,Opisthokonta,Metazoa,Arthropoda,Crustacea,Maxillopoda,Eudiaptomus,Eudiaptomus_graciloides,Opisthokonta_Arthropoda
ASV_33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,618,0,139,13890,0,0,0,472,117,0,335,273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,Obazoa,Opisthokonta,Fungi,Chytridiomycota,Rhizophydiales,Rhizophydiales_X,Rhizophydiales_XX,Rhizophydiales_XX_sp.,Opisthokonta_Chytridiomycota
ASV_34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,519,987,591,1004,3029,357,0,175,709,7143,296,317,111,154,120,0,0,0,0,0,33,0,27,0,0,0,0,188,33,25,Eukaryota,TSAR,Stramenopiles,Gyrista,Chrysophyceae,Synurales,Synuraceae,Mallomonas,Mallomonas_elongata,Stramenopiles
ASV_35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,909,1750,140,0,578,11349,697,335,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,Eukaryota,TSAR,Stramenopiles,Gyrista,Chrysophyceae,NA,NA,NA,NA,Stramenopiles
ASV_36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260,2649,2989,0,703,1386,186,7105,0,306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyta_X,Chlorophyceae,Chlamydomonadales,Chlamydomonadales_X,Carteria,Carteria_lunzensis,Chlorophyta
ASV_37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,50,101,1760,5119,2618,988,704,1449,419,1835,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,TSAR,Alveolata,Chrompodellids,Colpodellidea,Colpodellida,Colpodellida_CHR1,Colpodellida_CHR1_X,Colpodellida_CHR1_X_sp.,Alveolata
ASV_38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,15114,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,Obazoa,Opisthokonta,Metazoa,Arthropoda,Crustacea,Ostracoda,Darwinula,Darwinula_stevensoni,Opisthokonta_Arthropoda
ASV_39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,Obazoa,Opisthokonta,Metazoa,Arthropoda,Crustacea,Ostracoda,NA,NA,Opisthokonta_Arthropoda
