,16S-LM-6-1,16S-LM-6-16,16S-LM-6-19,16S-LM-6-8,16S-LM-7-14,16S-LM-7-22,16S-LM-7-28,16S-LM-7-8,16S-LM-8-12,16S-LM-8-18,16S-LM-8-26,16S-LM-8-4,16S-LM-9-1,16S-LM-9-16,16S-LM-9-9,16S-LR-6-1,16S-LR-6-16,16S-LR-6-19,16S-LR-6-8,16S-LR-7-14,16S-LR-7-22,16S-LR-7-28,16S-LR-7-8,16S-LR-8-12,16S-LR-8-18,16S-LR-8-26,16S-LR-8-4,16S-LR-9-1,16S-LR-9-16,16S-LR-9-9,16S-TTL-6-1,16S-TTL-6-16,16S-TTL-6-19,16S-TTL-6-8,16S-TTL-7-14,16S-TTL-7-22,16S-TTL-7-28,16S-TTL-7-8,16S-TTL-8-12,16S-TTL-8-18,16S-TTL-8-26,16S-TTL-8-4,16S-TTL-9-1,16S-TTL-9-16,16S-TTL-9-9
ASV_52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,1818,358,922,0,0,0,0,0,0,0,0,0,0,0,34,648,257,5428,0,0,0,0,0,0,0,0,0,0,0
ASV_53,645,131,678,227,265,116,57,1088,0,81,68,0,865,101,612,224,74,0,967,0,0,96,0,0,0,0,0,0,0,0,287,0,52,277,501,0,132,0,1169,292,0,125,179,149,0
ASV_54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,279,1675,653,165,1217,4103,697,171,205,98,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222,816,699,498,1146,1995,958,1172,323,154,556,91,653,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_56,283,198,890,343,1059,651,70,2232,0,0,0,0,192,0,45,38,81,68,30,0,26,0,62,0,0,0,0,0,85,0,0,0,0,0,258,36,170,85,424,890,0,184,79,650,85
ASV_57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,54,162,0,2305,578,38,2679,567,2008,367
ASV_58,283,134,386,113,1072,689,68,30,12,25,46,0,675,249,145,276,166,163,122,39,101,46,63,77,70,0,0,86,0,17,0,201,263,153,272,188,60,143,566,593,11,220,169,554,154
ASV_59,1355,338,525,57,462,648,368,151,51,14,97,117,1914,146,1339,155,0,94,0,0,0,0,114,68,156,79,12,0,12,0,0,0,0,0,0,0,18,0,104,46,0,51,0,0,0
ASV_60,170,0,46,241,31,68,954,0,205,83,25,0,62,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,449,1052,229,3335,0,0,88,0,0,508,0,96,0,105,357
ASV_61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4662,35,0,3141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_62,0,0,0,0,0,5833,0,0,0,0,1420,0,428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5655,1473,0,158,116,64,128
ASV_64,0,148,722,35,321,108,27,5688,0,0,0,0,0,0,0,512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_65,0,0,0,0,0,107,7112,0,0,0,13,87,0,0,0,0,71,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4170,91,0,2843,35,0,0,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_67,0,108,441,0,941,0,766,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,976,761,78,0,0,479,0,0,0,0,0,0,59,2496
ASV_68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239,31,0,75,2683,0,102,0,460,3564
ASV_69,84,39,55,51,977,999,595,878,198,93,0,32,86,559,129,0,200,48,271,58,24,18,16,11,100,149,0,0,0,0,10,0,0,15,81,59,26,32,437,396,0,87,36,187,108
ASV_70,0,0,0,0,0,0,4998,0,116,0,0,0,0,1982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_71,210,702,175,68,319,261,738,184,1561,504,647,940,302,13,236,0,0,13,17,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,36,16,16,39,0,9,19,0,0,0,0
ASV_72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198,501,1548,211,227,74,623,483,513,203,214,0,274,950,783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_73,363,95,122,461,69,241,58,22,0,0,0,0,63,287,22,0,0,0,0,146,501,233,41,194,73,0,0,0,0,0,0,0,0,0,420,86,146,222,231,262,13,957,321,702,358
ASV_74,1551,301,518,539,0,0,0,0,0,0,0,0,0,0,0,14,313,284,173,281,1184,517,93,25,24,0,0,0,0,16,463,10,11,225,0,0,0,0,0,0,0,0,0,0,0
ASV_75,98,324,111,33,461,315,233,592,344,356,240,206,114,0,70,277,418,459,242,498,135,95,581,97,123,72,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,61,0,935,865,728,386,24,988,376,295,1779
ASV_77,0,0,0,0,247,232,512,0,92,73,0,0,0,487,0,0,0,0,0,27,384,372,0,36,50,74,0,0,0,0,0,0,17,0,478,220,171,1002,408,92,58,879,105,226,172
ASV_78,0,0,0,0,665,371,272,690,127,184,30,0,135,528,814,0,0,0,0,0,0,46,0,681,308,78,0,58,24,124,0,0,0,0,0,0,0,0,94,565,0,52,155,167,225
ASV_79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285,1900,2472,721,493,112,0,391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_80,666,334,423,374,439,0,0,282,83,105,0,0,255,0,321,125,0,0,59,0,0,0,0,0,0,0,0,0,0,0,973,453,109,860,0,0,0,0,123,280,0,0,0,66,0
ASV_81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,69,64,67,552,871,1232,388,902,803,188,86,214,783,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_82,105,129,172,183,113,56,401,46,381,77,0,49,146,365,139,82,386,393,540,408,131,122,165,157,117,76,0,0,0,0,0,93,41,130,0,0,37,87,178,106,0,322,116,104,114
ASV_83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191,326,61,399,882,288,1709,452,580,79,0,0,0,0,0,0,0,0,952,0,0,77,0,0,0,78,0,0,0
ASV_84,272,697,583,275,348,118,81,151,113,117,28,0,666,454,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209,40,51,99,0,0,73,14,0,723,0,0,79,123,349
ASV_85,26,32,66,0,340,207,217,175,47,98,63,0,490,34,1507,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,80,265,95,34,90,1275,12,53,138,332,186
ASV_86,0,31,140,42,660,1154,391,81,246,252,79,36,962,40,608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,68,0,0,454,170,417
ASV_87,0,0,0,0,469,216,394,337,105,58,0,95,12,0,0,102,505,1491,402,0,72,183,60,82,109,105,0,357,0,66,0,0,0,0,0,0,61,52,0,0,78,104,55,71,95
ASV_88,176,10,16,440,0,0,15,0,82,122,22,18,140,25,0,0,0,0,0,0,0,0,0,42,65,130,0,0,0,0,0,0,0,0,47,0,1589,291,165,45,0,1704,0,264,43
ASV_89,0,101,178,227,0,0,85,102,197,254,0,0,113,0,0,147,98,266,140,165,262,494,737,437,243,132,63,0,342,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_90,74,125,217,136,161,91,159,0,197,46,0,41,90,113,58,0,375,380,301,125,137,108,59,78,0,0,0,54,48,0,100,397,114,169,120,67,137,157,299,122,0,305,47,96,66
ASV_91,431,0,0,17,0,0,0,0,0,0,0,0,210,41,422,50,0,0,336,0,0,0,0,0,0,0,0,0,0,0,16,1917,545,370,220,50,73,256,0,86,0,16,0,0,43
ASV_92,0,0,0,0,10,0,7,5,0,9,78,0,4050,15,898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
ASV_93,0,53,220,0,111,88,485,56,130,103,29,17,155,148,111,0,23,31,0,1440,328,483,372,74,33,79,0,0,0,184,0,0,0,0,0,0,0,0,9,0,0,18,20,53,86
ASV_94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,19,0,0,0,44,0,626,971,1206,0,434,417,139,0,0,0,0,41,0,0,20,17,12,207,527,63,71,52
ASV_95,0,0,0,0,0,0,109,0,0,0,0,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,489,166,0,3631,0,209
ASV_96,303,294,266,173,0,0,0,446,0,0,0,0,0,0,0,130,94,0,131,179,168,115,33,123,0,0,39,0,0,0,100,669,861,213,36,0,57,278,0,77,0,14,22,0,0
ASV_97,536,171,187,190,418,49,53,68,21,0,0,59,235,134,376,0,0,0,0,0,0,0,0,0,0,0,0,0,526,0,477,84,0,381,304,0,59,452,0,0,0,26,0,0,0
ASV_98,0,0,0,0,0,0,191,0,26,72,37,172,280,1500,0,0,170,474,61,26,18,5,97,114,17,60,0,251,121,67,0,22,0,0,0,0,0,319,0,0,0,0,0,152,518
ASV_99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1221,1800,352,177,0,12,1189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,1583,1404,614,0,0,0,71,64,221,211,0,199,23,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,198,170,174,493,506,1356,509,160,241,217,0,253,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_102,325,823,1927,383,0,0,0,0,16,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,41,21,92,0,71,15,0,574,0,0,23,0,34,0
ASV_103,298,677,775,1256,39,242,176,65,39,88,0,42,0,245,48,144,81,0,39,0,0,0,0,0,0,0,0,0,7,5,21,0,0,90,0,0,36,0,0,0,0,32,0,0,0
